TQ;VN
司法考试;Kiểm tra tư pháp
美国签证;Hoa Kỳ visa
欧洲签证;Châu Âu Visa
日本签证;Nhật bản visa
滤镜程度;Bộ lọc cấp
新建预设;Sẵn mới
预设名称;Tên đặt trước
新建分类;Phân loại mới
暂无分类;Không phân loại
您可以在;Bạn có thể
确认修改;Xác nhận thay đổi
后续处理;Điều trị theo dõi
系统提示;Hệ thống nhắc
导入预设;Để nhập định sẵn
问题上报;Vấn đề báo cáo
问题反馈;Hồi
历史记录;Lịch sử
画笔涂抹;Bàn chải bôi
不透明度;Mờ
开始涂抹;Bắt đầu bôi
加载失败;Thất bại để tải
支持撤销;Hỗ trợ lùi lại
我知道了;Tôi biết.
色彩调节;Điều chỉnh màu
人像美化;Những người như thế để làm đẹp
图像美化;Ảnh cảnh
原始位置;Nguyên vị trí
快捷键;Tắt
直方图;Biểu đồ
祛颈纹;Bỏ cổ đường
中性灰;Trung lập màu xám
开启后;Sau khi mở
祛瑕疵;Bỏ nhược điểm
无效果;Không hiệu quả
摩尔纹;Gợn sóng
波纹等;Sóng, etc.
的功能;Tính năng
伪素颜;Giả trang điểm
锦鲤妆;Hồ trang điểm
千金妆;Con trang điểm
太阳穴;Đền thờ
发际线;Tóc
丰上唇;Sự phong phú của trên môi
丰下唇;Sự phong phú của môi dưới
瘦手臂;Cánh tay mỏng
浅绿色;Ánh sáng màu xanh lá cây
洋红色;Magenta
饱和度;Hòa
明亮度;Sáng
对比度;Ngược lại
清晰度;Rõ ràng
鲜艳度;Sống động
白平衡;Cân bằng trắng
证件照;Ảnh ID
身份证;ID
驾驶证;Giấy phép lái xe
入学照;Ảnh học
学信网;Thông tin quang mạng
请选择;Vui lòng chọn
预设1;Sẵn 1
中查看;Xem
并点击;Và nhấn vào
处理中;Xử lý
已重置;Đã được thiết lập lại
下一步;Tiếp theo
不存在;Không tồn tại
已导入;Nhập khẩu
张图片;Ảnh
取消;Hủy
保存;Tiết kiệm
预设;Đặt trước
祛痣;Bỏ nốt ruồi
让脸;Hãy để khuôn mặt
自然;Tự nhiên
脸部;Face
身体;Cơ thể
亮眼;Bright eyes
色块;Màu khối
韩系;Hàn quốc
甜美;Ngọt ngào
日系;Nhật bản
复古;Cổ điển
欧美;Châu âu và Hoa Kỳ
眉毛;Lông mày
眼妆;Trang điểm mắt
睫毛;Mi
腮红;Blush
口红;Son môi
瘦脸;Face
颧骨;Xương gò má
下颌;Hàm dưới
小头;Cái đầu nhỏ
小脸;Ít mặt
脸宽;Mặt rộng
下巴;Cằm
大小;Kích thước
眼高;Mắt chiều cao
眼宽;Mắt rộng
眼距;Mắt khoảng cách
倾斜;Nghiêng
位置;Vị trí
鼻高;Mũi cao
鼻梁;Cầu mũi
鼻翼;Mũi
鼻尖;Chóp mũi
嘴宽;Miệng rộng
粗细;Dày
眉距;Tiêu đề khoảng cách
形状;Hình dạng
脸型;Face
眼睛;Mắt
鼻子;Mũi
嘴巴;Miệng
全身;Cơ thể
局部;Một phần
瘦腰;Eo mỏng
瘦腿;Chân gầy
丰胸;Nâng
美臀;Vẻ đẹp hip
瘦身;Giảm béo
头部;Đầu
长腿;Chân dài
增高;Tăng
红色;Đỏ
橙色;Orange
黄色;Màu vàng
绿色;Xanh
蓝色;Màu xanh
紫色;Màu tím
色相;Hue
曝光;Tiếp xúc
高光;Ánh sáng cao
阴影;Shadow
白色;Trắng
黑色;Black
偏好;Sở thích
锐化;Mài
半径;Bán kính
细节;Chi tiết
色温;Nhiệt độ màu
色调;Tông
滤镜;Bộ lọc
影调;Shadow tone
单人;Đơn
儿童;Trẻ em
长辈;Những người lớn tuổi
重置;Thiết lập lại
背景;Nền
尺寸;Kích thước
像素;Điểm
1寸;1 inch
2寸;2 inch
护照;Hộ chiếu
程度;Mức độ
开启;Mở
关闭;Gần
分类;Phân loại
提交;Gửi
例如;Ví dụ
羽化;Lông
文件;Tập tin
确认;Xác nhận
原始;Ban đầu
开;Mở
非;Không
左;Trái
右;Phải
男;Nam
女;Nữ
无;Không có
